price,date
3499-4190,14:35.4
3499-4190,14:35.4
3499-4190,38:43.8
3499-4190,17:45.4
3499-4190,55:25.2
5590-6990,33:35.2
3499-4190,12:51.1
3499-4190,52:39.5
3499-4190,2023-01-03 05:56:38.658848
3499-4190,2023-01-04 12:52:37.674792
